,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total,year,age
9903,Simone Ruffini,ITA,male,1989-12-07,1.73,67.0,aquatics,0,0,0,0,1989,27
9904,Simone Sabbioni,ITA,male,1996-10-03,1.85,79.0,aquatics,0,0,0,0,1996,20
9905,Simone Venier,ITA,male,1984-08-26,1.96,94.0,rowing,0,0,0,0,1984,32
9906,Simoya Campbell,JAM,female,1994-03-01,1.68,58.0,athletics,0,0,0,0,1994,22
9907,Simplice Fotsala,CMR,male,1989-05-09,1.54,75.5,boxing,0,0,0,0,1989,27
9908,Simplice Ribouem,AUS,male,1982-12-05,1.73,93.0,weightlifting,0,0,0,0,1982,34
9909,Sin Lam Sonia Lo,HKG,female,1992-12-18,1.66,59.0,sailing,0,0,0,0,1992,24
9910,Sina Tkaltschewitsch,GER,female,1999-05-05,1.6,44.0,gymnastics,0,0,0,0,1999,17
9911,Sinead Lynch,IRL,female,1976-09-30,1.72,57.0,rowing,0,0,0,0,1976,40
9912,Sinphet Kruaithong,THA,male,1995-08-22,1.59,55.0,weightlifting,0,0,1,1,1995,21
9913,Sinta Ozolina,LAT,female,1988-02-26,1.86,77.0,athletics,0,0,0,0,1988,28
9914,Siobhan Haughey,HKG,female,1997-10-31,1.77,64.0,aquatics,0,0,0,0,1997,19
9915,Siobhan-Marie O'Connor,GBR,female,1995-11-29,1.73,64.0,aquatics,0,1,0,1,1995,21
9916,Sione Molia,NZL,male,1993-09-05,1.86,95.0,rugby sevens,0,0,0,0,1993,23
9917,Siraba Dembele,FRA,female,1986-06-28,1.72,64.0,handball,0,1,0,1,1986,30
9918,Siri Arun Budcharern,LAO,female,2002-01-12,1.66,63.0,aquatics,0,0,0,0,2002,14
9919,Siripon Kaewduang-Ngam,THA,female,1994-07-27,1.67,50.0,sailing,0,0,0,0,1994,22
9920,Siripuch Gulnoi,THA,female,1993-07-17,1.57,63.0,weightlifting,0,0,0,0,1993,23
9921,Sirish Gurung,NEP,male,1998-08-11,1.58,65.0,aquatics,0,0,0,0,1998,18
9922,Sisila Seavula,FIJ,female,1995-11-15,1.6099999999999999,57.5,athletics,0,0,0,0,1995,21
9923,Sitora Hamidova,UZB,female,1989-05-12,1.64,50.0,athletics,0,0,0,0,1989,27
9924,Siueni Filimone,TGA,male,1994-08-19,1.73,69.0,athletics,0,0,0,0,1994,22
9925,Siyao Shu,CHN,female,1992-09-12,1.67,52.0,gymnastics,0,0,0,0,1992,24
9926,Sjef van den Berg,NED,male,1995-04-14,1.83,75.0,archery,0,0,0,0,1995,21
9927,Sladana Perunovic,MNE,female,1984-03-26,1.7,58.0,athletics,0,0,0,0,1984,32
9928,Slawomir Szmal,POL,male,1978-10-02,1.86,96.0,handball,0,0,0,0,1978,38
9929,Sloane Stephens,USA,female,1993-03-20,1.73,64.0,tennis,0,0,0,0,1993,23
9930,Slobodan Nikic,SRB,male,1983-01-25,1.97,106.0,aquatics,1,0,0,1,1983,33
9931,Slobodan Soro,BRA,male,1978-12-23,1.96,100.0,aquatics,0,0,0,0,1978,38
9932,Snjezana Pejcic,CRO,female,1982-07-13,1.7,75.0,shooting,0,0,0,0,1982,34
9933,So Hee Lee,KOR,female,1994-06-14,1.71,67.0,badminton,0,0,0,0,1994,22
9934,Sobhi Saied,TUN,male,1982-09-26,1.86,86.0,handball,0,0,0,0,1982,34
9935,Sofia Andreeva,RUS,female,1998-08-02,1.78,64.0,aquatics,0,0,0,0,1998,18
9936,Sofia Asoumanaki,GRE,female,1997-05-25,1.9,85.0,rowing,0,0,0,0,1997,19
9937,Sofia Assefa,ETH,female,1987-11-14,1.67,52.0,athletics,0,0,0,0,1987,29
9938,Sofia Bekatorou,GRE,female,1977-12-26,1.72,62.0,sailing,0,0,0,0,1977,39
9939,Sofia Ennaoui,POL,female,1995-08-30,1.58,42.0,athletics,0,0,0,0,1995,21
9940,Sofia Jakobsson,SWE,female,1990-04-23,1.74,64.0,football,0,1,0,1,1990,26
9941,Sofia Lodi,ITA,female,1998-01-29,1.75,57.0,gymnastics,0,0,0,0,1998,18
9942,Sofia Magdalena Mattsson,SWE,female,1989-11-11,1.64,56.0,wrestling,0,0,1,1,1989,27
9943,Sofia Middleton,CHI,female,1993-03-12,1.68,60.0,sailing,0,0,0,0,1993,23
9944,Sofia Paldanius,SWE,female,1979-03-16,1.85,75.0,canoe,0,0,0,0,1979,37
9945,Sofia Polcanova,AUT,female,1994-09-03,1.81,69.0,table tennis,0,0,0,0,1994,22
9946,Sofia Riga,GRE,female,1988-07-18,1.54,46.0,athletics,0,0,0,0,1988,28
9947,Sofia Rito,URU,female,1985-11-02,1.55,52.0,weightlifting,0,0,0,0,1985,31
9948,Sofia Sanchez,ARG,female,1989-08-23,1.67,57.0,aquatics,0,0,0,0,1989,27
9949,Sofia Yfantidou,GRE,female,1985-01-10,1.62,54.0,athletics,0,0,0,0,1985,31
9950,Sofian Bouvet,FRA,male,1989-06-02,1.73,63.0,sailing,0,0,0,0,1989,27
9951,Sofiane Bendebka,ALG,male,1992-08-09,1.7,65.0,football,0,0,0,0,1992,24
9952,Sofiane Guitone,FRA,male,1989-03-27,1.86,65.0,rugby sevens,0,0,0,0,1989,27
9953,Sofiane Oumiha,FRA,male,1994-12-23,1.74,65.0,boxing,0,1,0,1,1994,22
9954,Sofie Skoog,SWE,female,1990-06-07,1.81,65.0,athletics,0,0,0,0,1990,26
9955,Sofya Velikaya,RUS,female,1985-06-08,1.75,70.0,fencing,1,1,0,2,1985,31
9956,Sohrab Moradi,IRI,male,1988-09-22,1.7,94.0,weightlifting,1,0,0,1,1988,28
9957,Sohsuke Takatani,JPN,male,1989-04-05,1.78,81.0,wrestling,0,0,0,0,1989,27
9958,Sohui Kim,KOR,female,1994-01-29,1.64,50.0,taekwondo,1,0,0,1,1994,22
9959,Sojeong Yu,KOR,female,1996-06-04,1.68,66.0,handball,0,0,0,0,1996,20
9960,Sol Mi Kim,PRK,female,1990-11-20,1.55,48.0,judo,0,0,0,0,1990,26
9961,Solangie Delgado,COL,female,1989-11-09,1.55,57.0,rugby sevens,0,0,0,0,1989,27
9962,Solomon Bockarie,NED,male,1987-05-18,1.71,72.0,athletics,0,0,0,0,1987,29
9963,Solonei da Silva,BRA,male,1982-04-18,1.72,65.0,athletics,0,0,0,0,1982,34
9964,Sona Bernardova,CZE,female,1976-02-02,1.67,54.0,aquatics,0,0,0,0,1976,40
9965,Sona Poghosyan,ARM,female,1998-06-29,1.58,73.0,weightlifting,0,0,0,0,1998,18
9966,Sonchat Ratiwatana,THA,male,1982-01-23,1.75,71.0,tennis,0,0,0,0,1982,34
9967,Sondre Nordstad Moen,NOR,male,1991-01-12,1.725,72.5,athletics,0,0,0,0,1991,25
9968,Soner Demirtas,TUR,male,1991-06-25,1.7,74.0,wrestling,0,0,1,1,1991,25
9969,Song Gao,CHN,female,1992-04-16,1.9,85.0,basketball,0,0,0,0,1992,24
9970,Song Guk Kim,PRK,male,1985-10-05,1.67,75.0,shooting,0,0,1,1,1985,31
9971,Song I Kim,PRK,female,1994-08-10,1.61,55.0,table tennis,0,0,1,1,1994,22
9972,Song Yu,CHN,female,1986-08-06,1.82,128.0,judo,0,0,1,1,1986,30
9973,Sonia Aktar,BAN,female,1997-07-15,1.79,103.0,aquatics,0,0,0,0,1997,19
9974,Sonia Asselah,ALG,female,1991-08-20,1.76,78.0,judo,0,0,0,0,1991,25
9975,Sonia Franquet,ESP,female,1980-07-03,1.73,60.0,shooting,0,0,0,0,1980,36
9976,Sonia Malavisi,ITA,female,1994-10-31,1.72,66.0,athletics,0,0,0,0,1994,22
9977,Sonia Samuels,GBR,female,1979-05-16,1.62,47.0,athletics,0,0,0,0,1979,37
9978,Sonja Barjaktarovic,MNE,female,1986-09-11,1.8,74.0,handball,0,0,0,0,1986,30
9979,Sonja Petrovic,SRB,female,1989-02-18,1.89,75.0,basketball,0,0,1,1,1989,27
9980,Sonke Rothenberger,GER,male,1994-10-14,1.93,73.0,equestrian,1,0,0,1,1994,22
9981,Sonny Bill Williams,NZL,male,1985-08-03,1.94,106.0,rugby sevens,0,0,0,0,1985,31
9982,Sonny Webster,GBR,male,1994-03-10,1.78,94.0,weightlifting,0,0,0,0,1994,22
9983,Sooji Jang,KOR,female,1987-11-21,1.64,57.0,hockey,0,0,0,0,1987,29
9984,Sophie Ainsworth,GBR,female,1989-06-22,1.73,68.0,sailing,0,0,0,0,1989,27
9985,Sophie Bray,GBR,female,1990-05-12,1.64,58.0,hockey,1,0,0,1,1990,26
9986,Sophie Cocks,NZL,female,1994-07-25,1.72,62.0,hockey,0,0,0,0,1994,22
9987,Sophie Giger,SUI,female,1995-12-21,1.68,54.0,aquatics,0,0,0,0,1995,21
9988,Sophie Hansson,SWE,female,1998-08-02,1.86,73.0,aquatics,0,0,0,0,1998,18
9989,Sophie Hitchon,GBR,female,1991-07-11,1.7,75.0,athletics,0,0,1,1,1991,25
9990,Sophie Mackenzie,NZL,female,1992-03-31,1.72,57.0,rowing,0,0,0,0,1992,24
9991,Sophie Scheder,GER,female,1997-01-07,1.67,56.0,gymnastics,0,0,1,1,1997,19
9992,Sophie Schmidt,CAN,female,1988-06-28,1.72,68.0,football,0,0,1,1,1988,28
9993,Sophie Souwer,NED,female,1987-06-29,1.85,77.0,rowing,0,0,0,0,1987,29
9994,Sophie van Gestel,NED,female,1991-06-29,1.78,69.0,volleyball,0,0,0,0,1991,25
9995,Sopita Tanasan,THA,female,1994-12-23,1.54,48.0,weightlifting,1,0,0,1,1994,22
9996,Sopuruchi Dimgba,NGR,male,1993-03-29,1.68,68.0,football,0,0,0,0,1993,23
9997,Soren Dahl,DEN,male,1993-07-15,1.93,86.0,aquatics,0,0,0,0,1993,23
9998,Soren Kjeldsen,DEN,male,1975-05-17,1.7,72.0,golf,0,0,0,0,1975,41
9999,Soren Opti,SUR,male,1997-05-16,1.67,66.0,badminton,0,0,0,0,1997,19
10000,Soslan Daurov,BLR,male,1991-01-15,1.64,60.0,wrestling,0,0,0,0,1991,25
10001,Soslan Ramonov,RUS,male,1991-01-01,1.7,65.0,wrestling,1,0,0,1,1991,25
10002,Soso Tamarau,NGR,male,1984-05-16,1.67,97.0,wrestling,0,0,0,0,1984,32
10003,Sosthene Moguenara,GER,female,1989-10-17,1.8,65.0,athletics,0,0,0,0,1989,27
10004,Sotheara Chov,CAM,female,1983-10-10,1.55,48.0,wrestling,0,0,0,0,1983,33
10005,Sotiria Neofytou,CYP,female,1998-04-23,1.65,50.0,aquatics,0,0,0,0,1998,18
10006,Souad Ait Salem,ALG,female,1979-01-06,1.58,50.0,athletics,0,0,0,0,1979,37
10007,Soufiane Elbakkali,MAR,male,1996-01-07,1.88,70.0,athletics,0,0,0,0,1996,20
10008,Soufiane Haddi,MAR,male,1991-02-02,1.69,64.0,cycling,0,0,0,0,1991,25
10009,Soufiyan Bouqantar,MAR,male,1993-08-30,1.73,54.0,athletics,0,0,0,0,1993,23
10010,Soukphaxay Sithisane,LAO,male,1996-05-01,1.7650000000000001,64.5,judo,0,0,0,0,1996,20
10011,Soule Soilihi Athoumane,COM,male,1991-03-30,1.8,75.0,aquatics,0,0,0,0,1991,25
10012,Souleymane Diop Cissokho,FRA,male,1991-07-04,1.79,72.0,boxing,0,0,1,1,1991,25
10013,Soumyajit Ghosh,IND,male,1993-05-10,1.68,69.0,table tennis,0,0,0,0,1993,23
10014,Sovijja Pou,CAM,male,1995-07-18,1.69,62.0,aquatics,0,0,0,0,1995,21
10015,Soyib Kurbonov,UZB,male,1988-02-03,1.86,100.0,judo,0,0,0,0,1988,28
10016,Sparkle McKnight,TTO,female,1991-12-21,1.58,55.0,athletics,0,0,0,0,1991,25
10017,Spela Perse,SLO,female,1996-08-04,1.58,50.0,aquatics,0,0,0,0,1996,20
10018,Spela Ponomarenko Janic,SLO,female,1981-10-02,1.69,65.0,canoe,0,0,0,0,1981,35
10019,Spencer Turrin,AUS,male,1991-08-29,1.9,92.0,rowing,0,0,0,0,1991,25
10020,Spencer Wilton,GBR,male,1973-02-01,1.83,83.0,equestrian,0,1,0,1,1973,43
10021,Spiros Gianniotis,GRE,male,1980-02-19,1.85,78.0,aquatics,0,1,0,1,1980,36
10022,Spyridon Christos Giannaros,GRE,male,1992-05-12,1.83,72.0,rowing,0,0,0,0,1992,24
10023,Srabani Nanda,IND,female,1991-05-07,1.64,54.0,athletics,0,0,0,0,1991,25
10024,Srdjan Mrvaljevic,MNE,male,1984-05-16,1.86,85.0,judo,0,0,0,0,1984,32
10025,Sreejesh Parattu,IND,male,1988-05-08,1.83,79.0,hockey,0,0,0,0,1988,28
10026,Sri Wahyuni Agustiani,INA,female,1994-08-13,1.47,47.0,weightlifting,0,1,0,1,1994,22
10027,Srikanth Kidambi,IND,male,1993-02-07,1.78,66.0,badminton,0,0,0,0,1993,23
10028,Stacey Michelsen,NZL,female,1991-02-18,1.73,66.0,hockey,0,0,0,0,1991,25
10029,Stacy Lewis,USA,female,1985-02-16,1.66,60.0,golf,0,0,0,0,1985,31
10030,Stacy Otieno,KEN,female,1990-09-27,1.67,71.0,rugby sevens,0,0,0,0,1990,26
10031,Stan Okoye,NGR,male,1991-04-10,1.98,82.0,basketball,0,0,0,0,1991,25
10032,Stanimira Petrova,BUL,female,1990-12-16,1.7,93.0,boxing,0,0,0,0,1990,26
10033,Stanislau Shcharbachenia,BLR,male,1985-03-05,2.01,104.0,rowing,0,0,0,0,1985,31
10034,Stanley Amuzie,NGR,male,1996-02-28,1.71,85.0,football,0,0,1,1,1996,20
10035,Stanley Joseph,FRA,male,1991-10-24,1.81,66.0,athletics,0,0,0,0,1991,25
10036,Stanley Kipleting Biwott,KEN,male,1986-04-21,1.52,61.0,athletics,0,0,0,0,1986,30
10037,Stanly del Carmen,DOM,male,1995-09-20,1.63,62.0,athletics,0,0,0,0,1995,21
10038,Stavroula Samara,GRE,female,1994-07-08,1.74,56.0,gymnastics,0,0,0,0,1994,22
10039,Steele Johnson,USA,male,1996-06-16,1.88,79.0,aquatics,0,1,0,1,1996,20
10040,Steeve Barry,FRA,male,1991-04-18,1.81,85.0,rugby sevens,0,0,0,0,1991,25
10041,Stefan Bellore Sangala,CGO,female,1995-01-02,1.65,58.0,aquatics,0,0,0,0,1995,21
10042,Stefan Bircevic,SRB,male,1989-12-13,2.1,104.0,basketball,0,1,0,1,1989,27
10043,Stefan Brits,RSA,male,1992-01-19,1.83,72.0,athletics,0,0,0,0,1992,24
10044,Stefan Denifl,AUT,male,1987-09-20,1.79,65.0,cycling,0,0,0,0,1987,29
10045,Stefan Fegerl,AUT,male,1988-09-12,1.86,69.0,table tennis,0,0,0,0,1988,28
10046,Stefan Hristov,BUL,male,1985-07-12,1.75,59.0,cycling,0,0,0,0,1985,31
10047,Stefan Jovic,SRB,male,1990-11-03,1.96,94.0,basketball,0,1,0,1,1990,26
10048,Stefan Kiraj,GER,male,1989-05-11,1.89,92.0,canoe,0,0,0,0,1989,27
10049,Stefan Markovic,SRB,male,1988-04-25,1.99,96.0,basketball,0,1,0,1,1988,28
10050,Stefan Mitrovic,SRB,male,1988-03-29,1.95,91.0,aquatics,1,0,0,1,1988,28
10051,Stefan Nilsson,SWE,male,1990-08-12,1.86,89.0,shooting,0,0,0,0,1990,26
10052,Stefana Veljkovic,SRB,female,1990-01-09,1.9,76.0,volleyball,0,1,0,1,1990,26
10053,Stefani Stoeva,BUL,female,1995-09-23,1.74,64.0,badminton,0,0,0,0,1995,21
10054,Stefania Pirozzi,ITA,female,1993-12-16,1.7,59.0,aquatics,0,0,0,0,1993,23
10055,Stefanie Fee,USA,female,1990-03-11,1.68,63.0,hockey,0,0,0,0,1990,26
10056,Stefanie Horn,ITA,female,1991-01-09,1.68,59.0,canoe,0,0,0,0,1991,25
10057,Stefaniya Elfutina,RUS,female,1997-01-27,1.7,59.0,sailing,0,0,1,1,1997,19
10058,Stefano Brecciaroli,ITA,male,1974-11-19,1.77,71.0,equestrian,0,0,0,0,1974,42
10059,Stefano Giantorno,BRA,male,1991-09-27,1.7,73.0,rugby sevens,0,0,0,0,1991,25
10060,Stefano Oppo,ITA,male,1994-09-12,1.87,70.0,rowing,0,0,0,0,1994,22
10061,Stefano Peschiera,PER,male,1995-01-16,1.82,84.0,sailing,0,0,0,0,1995,21
10062,Stefano Raffaele Marcia,RSA,male,1993-11-23,1.78,80.0,sailing,0,0,0,0,1993,23
10063,Stefano Selva,SMR,male,1969-08-24,1.7,65.0,shooting,0,0,0,0,1969,47
10064,Stefano Tempesti,ITA,male,1979-06-09,2.05,100.0,aquatics,0,0,1,1,1979,37
10065,Stefano la Rosa,ITA,male,1985-09-28,1.7,54.0,athletics,0,0,0,0,1985,31
10066,Stefanos Dimitriadis,GRE,male,1989-09-08,1.89,82.0,aquatics,0,0,0,0,1989,27
10067,Stefanos Galanopoulos,GRE,male,1993-02-22,1.97,89.0,aquatics,0,0,0,0,1993,23
10068,Stefanos Ntouskos,GRE,male,1997-03-29,1.86,73.0,rowing,0,0,0,0,1997,19
10069,Stefany Castano,COL,female,1994-01-11,1.72,60.0,football,0,0,0,0,1994,22
10070,Stefany Coronado,BOL,female,1996-09-16,1.73,54.0,athletics,0,0,0,0,1996,20
10071,Stefany Hernandez,VEN,female,1991-06-15,1.65,65.0,cycling,0,0,1,1,1991,25
10072,Steffen Deibler,GER,male,1987-07-10,1.86,81.0,aquatics,0,0,0,0,1987,29
10073,Steffen Fath,GER,male,1990-04-04,1.99,97.0,handball,0,0,1,1,1990,26
10074,Steffen Peters,USA,male,1964-09-18,1.73,68.0,equestrian,0,0,1,1,1964,52
10075,Steffen Weinhold,GER,male,1986-07-19,1.91,94.0,handball,0,0,1,1,1986,30
10076,Steffi Kriegerstein,GER,female,1992-11-03,1.78,70.0,canoe,0,1,0,1,1992,24
10077,Stella Akakpo,FRA,female,1994-02-28,1.66,60.0,athletics,0,0,0,0,1994,22
10078,Stella Chesang,UGA,female,1996-12-01,1.6549999999999998,59.5,athletics,0,0,0,0,1996,20
10079,Stepan Maryanyan,RUS,male,1991-09-21,1.65,59.0,wrestling,0,0,0,0,1991,25
10080,Steph Catley,AUS,female,1994-01-26,1.71,60.0,football,0,0,0,0,1994,22
10081,Stephan Feck,GER,male,1990-02-17,1.83,79.0,aquatics,0,0,0,0,1990,26
10082,Stephan Krueger,GER,male,1988-11-29,1.87,86.0,rowing,0,0,0,0,1988,28
10083,Stephan de Freitas Barcha,BRA,male,1989-10-27,1.8,78.0,equestrian,0,0,0,0,1989,27
10084,Stephane Smith,BRA,male,1989-05-15,1.73,70.0,hockey,0,0,0,0,1989,27
10085,Stephanie Au,HKG,female,1992-05-30,1.72,56.0,aquatics,0,0,0,0,1992,24
10086,Stephanie Brieussel,FRA,female,1974-01-29,1.69,55.0,equestrian,0,0,0,0,1974,42
10087,Stephanie Enright,PUR,female,1990-12-15,1.79,56.0,volleyball,0,0,0,0,1990,26
10088,Stephanie Fotso Mogoung,CMR,female,1987-09-25,1.84,78.0,volleyball,0,0,0,0,1987,29
10089,Stephanie Horner,CAN,female,1989-03-19,1.8,69.0,aquatics,0,0,0,0,1989,27
10090,Stephanie Labbe,CAN,female,1986-10-10,1.78,63.0,football,0,0,1,1,1986,30
10091,Stephanie Lovell,LCA,female,1995-09-08,1.6,62.0,sailing,0,0,0,0,1995,21
10092,Stephanie Malherbe,RSA,female,1996-04-05,1.62,59.0,football,0,0,0,0,1996,20
10093,Stephanie Meadow,IRL,female,1992-01-20,1.63,64.0,golf,0,0,0,0,1992,24
10094,Stephanie Morton,AUS,female,1990-11-28,1.77,77.0,cycling,0,0,0,0,1990,26
10095,Stephanie Pohl,GER,female,1987-10-21,1.6,51.0,cycling,0,0,0,0,1987,29
10096,Stephanie Talbot,AUS,female,1994-06-15,1.86,87.0,basketball,0,0,0,0,1994,22
10097,Stephanie Tirode,FRA,female,1975-05-01,1.65,78.0,shooting,0,0,0,0,1975,41
10098,Stephanie Twell,GBR,female,1989-08-17,1.68,57.0,athletics,0,0,0,0,1989,27
10099,Stephanie Vogt,LIE,female,1990-02-15,1.67,65.0,tennis,0,0,0,0,1990,26
10100,Stephen Bird,AUS,male,1988-05-11,1.89,86.0,canoe,0,0,0,0,1988,28
10101,Stephen Cummings,GBR,male,1981-03-19,1.9,75.0,cycling,0,0,0,0,1981,35
10102,Stephen Jenness,NZL,male,1990-06-07,1.79,76.0,hockey,0,0,0,0,1990,26
10103,Stephen Jones,NZL,male,1993-04-29,1.92,95.0,rowing,0,0,0,0,1993,23
10104,Stephen Kasprzyk,USA,male,1982-02-14,2.01,103.0,rowing,0,0,0,0,1982,34
10105,Stephen Kiprotich,UGA,male,1989-02-27,1.9449999999999998,105.5,athletics,0,0,0,0,1989,27
10106,Stephen Lambdin,USA,male,1988-03-09,1.88,108.0,taekwondo,0,0,0,0,1988,28
10107,Stephen Milne,GBR,male,1994-04-29,1.86,76.0,aquatics,0,1,0,1,1994,22
10108,Stephen Mokoka,RSA,male,1985-01-31,1.57,52.0,athletics,0,0,0,0,1985,31
10109,Stephen Mozia,NGR,male,1993-08-16,1.91,124.0,athletics,0,0,0,0,1993,23
10110,Stephen Newbold,BAH,male,1994-08-05,1.825,99.5,athletics,0,0,1,1,1994,22
10111,Stephen Parez,FRA,male,1994-08-01,1.74,75.0,rugby sevens,0,0,0,0,1994,22
10112,Stephenie Ann McPherson,JAM,female,1988-11-25,1.73,57.0,athletics,0,1,0,1,1988,28
10113,Stevan Pletikosic,SRB,male,1972-03-14,1.84,81.0,shooting,0,0,0,0,1972,44
10114,Steve Guerdat,SUI,male,1982-06-10,1.82,70.0,equestrian,0,0,0,0,1982,34
10115,Steve Johnson,USA,male,1989-12-24,1.88,86.0,tennis,0,0,1,1,1989,27
10116,Steve Morabito,SUI,male,1983-01-30,1.87,73.0,cycling,0,0,0,0,1983,33
10117,Steven Burke,GBR,male,1988-03-04,1.83,78.0,cycling,1,0,0,1,1988,28
10118,Steven Gardiner,BAH,male,1995-09-12,1.88,73.33333333333333,athletics,0,0,1,1,1995,21
10119,Steven Gerard Donnelly,IRL,male,1988-09-07,1.8,68.66666666666667,boxing,0,0,0,0,1988,28
10120,Steven Kruijswijk,NED,male,1987-06-07,1.77,64.0,cycling,0,0,0,0,1987,29
10121,Steven Lopez,USA,male,1978-11-09,1.91,83.0,taekwondo,0,0,0,0,1978,38
10122,Steven Marshall,CAN,male,1989-11-23,1.93,87.0,volleyball,0,0,0,0,1989,27
10123,Steven Scott,GBR,male,1985-01-10,1.72,84.0,shooting,0,0,1,1,1985,31
10124,Stewart Innes,GBR,male,1991-05-20,1.97,97.0,rowing,0,0,0,0,1991,25
10125,Stian Skjerahaug,NOR,male,1992-03-08,1.71,66.0,gymnastics,0,0,0,0,1992,24
10126,Stig-Andre Berge,NOR,male,1983-07-20,1.72,69.0,wrestling,0,0,1,1,1983,33
10127,Stina Blackstenius,SWE,female,1996-02-05,1.73,72.0,football,0,1,0,1,1996,20
10128,Stina Gardell,SWE,female,1990-03-28,1.72,70.0,aquatics,0,0,0,0,1990,26
10129,Stina Troest,DEN,female,1994-01-17,1.7,59.0,athletics,0,0,0,0,1994,22
10130,Stine Bredal Oftedal,NOR,female,1991-09-25,1.68,69.0,handball,0,0,1,1,1991,25
10131,Stine Nielsen,DEN,female,1991-02-09,1.63,79.0,shooting,0,0,0,0,1991,25
10132,Stipe Zunic,CRO,male,1990-12-13,1.93,134.0,athletics,0,0,0,0,1990,26
10133,Stsiapan Rahautsou,BLR,male,1986-05-29,1.74,58.0,athletics,0,0,0,0,1986,30
10134,Stuart Dutamby,FRA,male,1994-04-24,1.76,74.0,athletics,0,0,0,0,1994,22
10135,Stuart Farquhar,NZL,male,1982-03-15,1.87,98.0,athletics,0,0,0,0,1982,34
10136,Stuart McNay,USA,male,1981-08-01,1.71,65.0,sailing,0,0,0,0,1981,35
10137,Stuart Tinney,AUS,male,1964-12-07,1.8,71.0,equestrian,0,0,1,1,1964,52
10138,Su Ji Kim,KOR,female,1987-07-11,1.87,68.0,volleyball,0,0,0,0,1987,29
10139,Su Oh,AUS,female,1996-05-23,1.68,73.0,golf,0,0,0,0,1996,20
10140,Suad Natiq,IRQ,male,1994-03-19,1.85,78.0,football,0,0,0,0,1994,22
10141,Subenrat Insaeng,THA,female,1994-02-10,1.82,115.0,athletics,0,0,0,0,1994,22
10142,Sudha Singh,IND,female,1986-06-25,1.58,45.0,athletics,0,0,0,0,1986,30
10143,Sudirman Hadi,INA,male,1996-03-09,1.71,76.0,athletics,0,0,0,0,1996,20
10144,Sue Bird,USA,female,1980-10-16,1.75,66.0,basketball,1,0,0,1,1980,36
10145,Suehiro Ishikawa,JPN,male,1979-09-27,1.69,56.0,athletics,0,0,0,0,1979,37
10146,Sugoi Uriarte,ESP,male,1984-05-14,1.72,66.0,judo,0,0,0,0,1984,32
10147,Suguru Osako,JPN,male,1991-05-23,1.7,52.0,athletics,0,0,0,0,1991,25
10148,Suhrob Khodjaev,UZB,male,1993-05-21,1.85,120.0,athletics,0,0,0,0,1993,23
10149,Sukanya Srisurat,THA,female,1995-05-03,1.55,57.0,weightlifting,1,0,0,1,1995,21
10150,Sukhi Panesar,CAN,male,1993-12-26,1.8,75.0,hockey,0,0,0,0,1993,23
10151,Sulaiman Hamad,KSA,male,1994-05-19,1.77,66.0,judo,0,0,0,0,1994,22
10152,Suleyman Atli,TUR,male,1994-07-27,1.68,57.0,wrestling,0,0,0,0,1994,22
10153,Sultan Duzelbayev,KAZ,male,1994-03-12,1.76,46.0,archery,0,0,0,0,1994,22
10154,Sultan Haydar,TUR,female,1987-05-23,1.7,55.0,athletics,0,0,0,0,1987,29
10155,Sultan Mubarak Al-Dawoodi,KSA,male,1977-06-16,1.92,86.0,athletics,0,0,0,0,1977,39
10156,Sumeeth Reddy B.,IND,male,1991-09-26,1.82,64.0,badminton,0,0,0,0,1991,25
10157,Sumin Choi,KOR,female,1990-01-09,1.77,64.0,handball,0,0,0,0,1990,26
10158,Sumiya Dorjsuren,MGL,female,1991-03-11,1.6,59.0,judo,0,1,0,1,1991,25
10159,Sumiya Erdenechimeg,MGL,female,1990-02-28,1.59,53.0,wrestling,0,0,0,0,1990,26
10160,Sunayna Wahi,SUR,female,1990-08-14,1.645,62.5,athletics,0,0,0,0,1990,26
10161,Sunette Viljoen,RSA,female,1983-10-06,1.7,72.0,athletics,0,1,0,1,1983,33
10162,Sung Hyun Ko,KOR,male,1987-05-21,1.82,85.0,badminton,0,0,0,0,1987,29
10163,Sungmin Kim,KOR,male,1987-06-29,1.9,130.0,judo,0,0,0,0,1987,29
10164,Sungyun Gu,KOR,male,1994-06-27,1.95,82.0,football,0,0,0,0,1994,22
10165,Sunhee Woo,KOR,female,1978-07-01,1.71,58.0,handball,0,0,0,0,1978,38
10166,Sunil Sowmarpet,IND,male,1989-05-06,1.76,68.0,hockey,0,0,0,0,1989,27
10167,Sunita Lakra,IND,female,1991-06-11,1.58,57.0,hockey,0,0,0,0,1991,25
10168,Sunwoo Kim,KOR,female,1996-10-07,1.65,57.0,modern pentathlon,0,0,0,0,1996,20
10169,Suping Meng,CHN,female,1989-07-17,1.73,120.0,weightlifting,1,0,0,1,1989,27
10170,Suraju Saka,CGO,male,1976-05-05,1.7,68.0,table tennis,0,0,0,0,1976,40
10171,Surender Kumar,IND,male,1993-11-23,1.79,77.0,hockey,0,0,0,0,1993,23
10172,Susan Kuijken,NED,female,1986-07-08,1.72,54.0,athletics,0,0,0,0,1986,30
10173,Susana Costa,POR,female,1984-09-22,1.77,64.0,athletics,0,0,0,0,1984,32
10174,Susann Bjornsen,NOR,female,1993-05-28,1.91,72.0,aquatics,0,0,0,0,1993,23
