,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total,year,age
2787,Edgar Ie,POR,male,1994-05-01,1.88,80.0,football,0,0,0,0,1994,22
2788,Edgar Pineda Zeta,GUA,male,1997-08-17,1.62,56.0,weightlifting,0,0,0,0,1997,19
2789,Edgar Ramon Munoz,VEN,male,1983-12-22,1.84,70.0,boxing,0,0,0,0,1983,33
2790,Edgar Rivera,MEX,male,1991-02-13,1.98,84.0,athletics,0,0,0,0,1991,25
2791,Edgaras Venckaitis,LTU,male,1985-12-12,1.71,70.0,wrestling,0,0,0,0,1985,31
2792,Edidiong Ofonime Odiong,BRN,female,1997-03-13,1.67,58.0,athletics,0,0,0,0,1997,19
2793,Edigerson Gomes,DEN,male,1988-11-17,1.92,91.0,football,0,0,0,0,1988,28
2794,Edina Gangl,HUN,female,1990-06-25,1.81,64.0,aquatics,0,0,0,0,1990,26
2795,Edina Knapek,HUN,female,1977-10-05,1.66,53.0,fencing,0,0,0,0,1977,39
2796,Edna Carrillo,MEX,female,1991-11-12,1.52,48.0,judo,0,0,0,0,1991,25
2797,Edna Santini,BRA,female,1992-07-15,1.53,54.0,rugby sevens,0,0,0,0,1992,24
2798,Edouard Joseph,HAI,male,1989-12-24,1.52,60.0,weightlifting,0,0,0,0,1989,27
2799,Edson Isaias Freitas da Silva,BRA,male,1982-03-25,1.7,83.0,canoe,0,0,0,0,1982,34
2800,Eduard Popp,GER,male,1991-06-16,1.9,128.0,wrestling,0,0,0,0,1991,25
2801,Eduard Soghomonyan,BRA,male,1990-02-19,1.9,120.0,wrestling,0,0,0,0,1990,26
2802,Eduarda Taleska,BRA,female,1986-09-23,1.86,84.0,handball,0,0,0,0,1986,30
2803,Eduardo Alvarez Aznar,ESP,male,1984-01-01,1.73,67.0,equestrian,0,0,0,0,1984,32
2804,Eduardo Jose Lorenzo,DOM,male,1966-08-31,1.71,84.0,shooting,0,0,0,0,1966,50
2805,Eduardo Menezes,BRA,male,1980-05-01,1.93,84.0,equestrian,0,0,0,0,1980,36
2806,Eduardo Rubio Rodriguez,CUB,male,1986-11-13,1.87,88.0,rowing,0,0,0,0,1986,30
2807,Eduardo Sepulveda,ARG,male,1991-06-13,1.73,63.0,cycling,0,0,0,0,1991,25
2808,Eduardo Solaeche Gomez,ESP,male,1993-11-22,1.83,79.0,aquatics,0,0,0,0,1993,23
2809,Edvald Boasson Hagen,NOR,male,1987-05-17,1.835,84.5,cycling,0,0,0,0,1987,29
2810,Edvinas Ramanauskas,LTU,male,1985-08-18,1.84,90.0,canoe,0,0,1,1,1985,31
2811,Edward Araya,CHI,male,1986-02-14,1.76,62.0,athletics,0,0,0,0,1986,30
2812,Edward Clancy,GBR,male,1985-03-12,1.85,79.0,cycling,1,0,0,1,1985,31
2813,Edward Dawkins,NZL,male,1989-07-11,1.85,93.0,cycling,0,1,0,1,1989,27
2814,Edward Gal,NED,male,1970-03-04,1.82,72.0,equestrian,0,0,0,0,1970,46
2815,Edward King,USA,male,1989-06-14,1.94,77.0,rowing,0,0,0,0,1989,27
2816,Edward Ling,GBR,male,1983-03-07,1.8,80.0,shooting,0,0,1,1,1983,33
2817,Edward Ockenden,AUS,male,1987-04-03,1.8,73.0,hockey,0,0,0,0,1987,29
2818,Edwige Gwend,ITA,female,1990-03-11,1.63,63.0,judo,0,0,0,0,1990,26
2819,Edwin Orlando Mosquera Roa,COL,male,1985-07-26,1.65,69.0,weightlifting,0,0,0,0,1985,31
2820,Edwina Bone,AUS,female,1988-04-29,1.7,70.0,hockey,0,0,0,0,1988,28
2821,Edwina Tops-Alexander,AUS,female,1974-03-29,1.64,50.0,equestrian,0,0,0,0,1974,42
2822,Edyta Dzieniszewska-Kierkla,POL,female,1986-05-05,1.7,72.0,canoe,0,0,0,0,1986,30
2823,Edyta Jasinska,POL,female,1986-11-28,1.77,68.0,cycling,0,0,0,0,1986,30
2824,Edzus Treimanis,LAT,male,1988-04-21,1.83,82.0,cycling,0,0,0,0,1988,28
2825,Eefje Muskens,NED,female,1989-06-17,1.64,60.0,badminton,0,0,0,0,1989,27
2826,Eelco Sintnicolaas,NED,male,1987-04-07,1.86,80.0,athletics,0,0,0,0,1987,29
2827,Eeseul Baek,KOR,female,1994-10-04,1.75,72.0,hockey,0,0,0,0,1994,22
2828,Efe Ajagba,NGR,male,1994-04-22,1.9,88.5,boxing,0,0,0,0,1994,22
2829,Efthimios Mitas,GRE,male,1985-05-15,1.9,105.0,shooting,0,0,0,0,1985,31
2830,Egle Balciunaite,LTU,female,1988-10-31,1.76,63.0,athletics,0,0,0,0,1988,28
2831,Eglys Yahima de la Cruz,CUB,female,1980-04-12,1.59,63.0,shooting,0,0,0,0,1980,36
2832,Egor Kliuka,RUS,male,1995-06-15,2.08,93.0,volleyball,0,0,0,0,1995,21
2833,Ehsan Hadadi,IRI,male,1985-01-20,1.92,120.0,athletics,0,0,0,0,1985,31
2834,Ehsan Rouzbahani,IRI,male,1988-06-23,1.84,100.0,boxing,0,0,0,0,1988,28
2835,Ei Ei Thet,MYA,female,1992-12-13,1.745,80.0,aquatics,0,0,0,0,1992,24
2836,Eider Arevalo,COL,male,1993-03-09,1.65,60.0,athletics,0,0,0,0,1993,23
2837,Eike Onnen,GER,male,1982-08-03,1.97,92.0,athletics,0,0,0,0,1982,34
2838,Eiki Takahashi,JPN,male,1992-11-19,1.76,58.0,athletics,0,0,0,0,1992,24
2839,Eileen Grench,PAN,female,1986-08-05,1.52,59.0,fencing,0,0,0,0,1986,30
2840,Eilidh Doyle,GBR,female,1987-02-20,1.7,60.0,athletics,0,0,1,1,1987,29
2841,Eilish McColgan,GBR,female,1990-11-25,1.76,53.0,athletics,0,0,0,0,1990,26
2842,Eimantas Stanionis,LTU,male,1994-08-17,1.73,51.5,boxing,0,0,0,0,1994,22
2843,Eirini-Marina Alexandri,AUT,female,1997-09-15,1.71,50.0,aquatics,0,0,0,0,1997,19
2844,Eita Mori,JPN,male,1983-04-13,1.73,76.0,shooting,0,0,0,0,1983,33
2845,Ejowvokoghene Oduduru,NGR,male,1996-10-07,1.7650000000000001,70.0,athletics,0,0,0,0,1996,20
2846,Ekaterina Birlova,RUS,female,1987-08-11,1.8,62.0,volleyball,0,0,0,0,1987,29
2847,Ekaterina Bukina,RUS,female,1987-05-05,1.74,75.0,wrestling,0,0,1,1,1987,29
2848,Ekaterina Dyachenko,RUS,female,1987-08-31,1.67,53.0,fencing,1,0,0,1,1987,29
2849,Ekaterina Ilina,RUS,female,1991-03-07,1.74,60.0,handball,1,0,0,1,1991,25
